key_value,norm_value
Puerto,Puerto
puerto,Puerto
Puerto,Puerto
puerto,Puerto
Puerto de Tierra,Puerto
Puertos,Puerto
PUERTOS,Puerto
Puertos,Puerto
puertos,Puerto
Puertos,Puerto
PUERTOS,Puerto
Puertos,Puerto
puertos,Puerto
puesto,Puesto
Puna,Puna
punas,Puna
Punta,Punta
punta,Punta
Punta,Punta
punta,Punta
Punta,Punta
punta,Punta
Punta,Punta
punta de tierra,Punta
Punta de tierra,Punta
punta de tierra,Punta
Punta de tierra,Punta
Punta de Tierra,Punta
Punta de tierra,Punta
Punta de Tierra,Punta
punta de tierra,Punta
Punta de tierra,Punta
punta de tierra,Punta
Punta de tierra,Punta
PUNTAS,Punta
Puntas,Punta
puntas,Punta
Puntas,Punta
puntas,Punta
puntas de tierra,Punta
quartel,Cuartel
Quarteron,Quarteron
quebrada,Quebrada
Quebrada,Quebrada
quebrada,Quebrada
Quebrada,Quebrada
quebrada,Quebrada
quebradas,Quebrada
Quinterón,Quinterón
Rada,Rada
rada,Rada
Rada,Rada
rada,Rada
Rada,Rada
rada,Rada
radas,Rada
ranchería,Ranchería
rancherías,Ranchería
rancherías de Indios,Ranchería
rancho,Rancho
Rancho,Rancho
rancho,Rancho
ranchos,Rancho
raudal,Raudal
Raudal,Raudal
raudal,Raudal
raudales,Raudal
Raza de gentes,Raza
Real,Real
Real Audiencia,Audiencia
Real de Minas,Real de Minas
Real de minas,Real de Minas
Real de Minas,Real de Minas
Real de minas,Real de Minas
real de minas,Real de Minas
real de Minas,Real de Minas
Real de Minas,Real de Minas
Real de minas,Real de Minas
Real de Minas,Real de Minas
Real de minas,Real de Minas
Real Fuerza,Real Fuerza
Reales,Real de Minas
Reales de Minas,Real de Minas
Rebalso de aguas,Rebalso
rebalsos,Rebalso
reducción,Reducción
Reducción,Reducción
reducción,Reducción
reducción de,Reducción
reducción de Indios,Reducción
reducciones,Reducción
reducciones de Indios,Reducción
redución,Reducción
reducto,Reducto
reductos,Reducto
Remolino,Remolino
remolino,Remolino
remolinos,Remolino
República,República
República,República
Reyno,Reyno
reyno,Reyno
Reyno,Reyno
REYNO,Reyno
REYNOS,Reyno
Reynos,Reyno
reynos,Reyno
REYNOS,Reyno
Reynos,Reyno
REYNOS,Reyno
Reynos,Reyno
riachuelo,Riachuelo
riachuelos,Riachuelo
Río,Río
río,Río
Río,Río
río,Río
Río,Río
río,Río
Río,Río
río,Río
Río,Río
RIOS,Rio
Ríos,Río
ríos,Río
Ríos,Río
ríos,Río
Ríos,Río
ríos,Río
Ríos,Río
ríos,Río
Ríos,Río
ríos,Río
roca,Roca
rocas,Roca
Rocas,Roca
sabanas,Sabana
Sabanas,Sabana
sabanas,Sabana
Sabanas,Sabana
sábanas,Sabana
saco,Saco
salida,Salida
salina,Salina
salinas,Salina
Salinas,Salina
salinas,Salina
Salinas,Salina
Salta atrás,Salta Atrás
salto,Salto
Salto,Salto
salto,Salto
Salto,Salto
salto,Salto
Salto de agua,Salto
Salvages,Salvaje
salvages,Salvaje
Salvages,Salvaje
salvages,Salvaje
salvajes,Salvaje
Sambo,Zambo
Santuario,Santuario
Santuarios,Santuario
selva,Selva
Selva,Selva
selva,Selva
Selva,Selva
selva,Selva
selvas,Selva
Selvas,Selva
selvas,Selva
Seña,Seña
Seno,Seno
seno,Seno
Seno,Seno
seno,Seno
Seno,Seno
seno,Seno
Seno,Seno
seno,Seno
Señorío,Señorío
senos,Seno
Serranía,Serranía
serranía,Serranía
Serranía,Serranía
serranía,Serranía
Serranía,Serranía
serranía,Serranía
Serranía,Serranía
serranía,Serranía
Serranía,Serranía
serranías,Serranía
Serranías,Serranía
serranías,Serranía
Serranías,Serranía
serranías,Serranía
Sierra,Sierra
sierra,Sierra
Sierra,Sierra
sierra,Sierra
Sierra,Sierra
sierra,Sierra
Sierra,Sierra
sierra,Sierra
sierras,Sierra
Sierras,Sierra
sierras,Sierra
Sierras,Sierra
sierras,Sierra
Sierras,Sierra
Sitio,Sitio
sitio,Sitio
Sitio,Sitio
sitio,Sitio
Sitio,Sitio
sitio,Sitio
Sitio,Sitio
sitios,Sitio
sitios de labranza,Sitio de Labranza
Sonda,Sonda
sus vecinos,Vecino
Templo,Templo
Templos,Templo
tenencias,Tenencia
Tente en el ayre,Tente En El Ayre
termas,Terma
terrenos,Terreno
territorio,Territorio
Territorio,Territorio
territorio,Territorio
Territorio,Territorio
territorio,Territorio
Territorio,Territorio
territorios,Territorio
Tierra,Tierra
tierra,Tierra
Tierra,Tierra
tierra,Tierra
Tierra,Tierra
tierra,Tierra
Tierras,Tierra
tierras,Tierra
Torrente,Torrente
trapiche,Trapiche
Trapiche,Trapiche
trapiche,Trapiche
trapiches,Trapiche
Trapiches,Trapiche
trapiches,Trapiche
Tribu,Tribu
tribu,Tribu
Tribu,Tribu
Tribu de indios,Tribu
Tribu de Indios,Tribu
Tribus,Tribu
tribus,Tribu
Tribus,Tribu
tribus,Tribu
Tribus,Tribu
tribus,Tribu
tribus de Indios,Tribu
trou,Trou
Universidad,Universidad
Uzumacintla,
vado,Vado
vados,Vado
Valle,Valle
valle,Valle
Valle,Valle
valle,Valle
Valle,Valle
valle,Valle
Valle,Valle
valle,Valle
valles,Valle
Valles,Valle
valles,Valle
Valles,Valle
valles,Valle
Valles,Valle
vecinos,Vecino
Vecinos,Vecino
vecinos,Vecino
vecinos blancos,Vecino
vecinos Españoles,Vecino
Vegas,Vega
Víctor,
vigía,Vigía
Vigía,Vigía
vigía,Vigía
vigías,Vigía
Villa,Villa
villa,Villa
Villa,Villa
villa,Villa
Villa,Villa
villa,Villa
Villa,Villa
village,Villaje
Village de Indios,Villaje
villages,Villaje
Villages,Villaje
villages,Villaje
Villas,Villa
villas,Villa
VILLAS,Villa
Villas,Villa
Vireynato,Virreinato
Vireynatos,Virreinato
Virreynato,Virreinato
Virreynatos,Virreinato
Volc.,Volcán
Volcán,Volcán
volcán,Volcán
Volcán,Volcán
volcán,Volcán
Volcán,Volcán
volcán,Volcán
Volcán,Volcán
volcanes,Volcán
Volcanes,Volcán
zambos,Zambo
Zambos,Zambo
